test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.403523352403,0.422185243166,0.389910723036,0.411673419411,0.391829989286,0.402017387117
trainALl-testSHIT,0.174038819494,0.201680672269,0.159292035398,0.267716535433,0.116504854369,0.125
trainALL-testFILTERED-thresh0.51,0.456826270777,0.448373215494,0.445150822557,0.468439441268,0.446750120294,0.475417754272
trainFILTERED-testALL-thresh0.51,0.423568600595,0.429384047362,0.418549187809,0.42469649579,0.441049355841,0.404163916172
trainFILTERED-testFILTERED-thresh0.51,0.480559702866,0.50656700159,0.466200017893,0.490656514515,0.485494077996,0.453880902334
trainFILTERED-testSHIT-thresh0.51,0.041083905016,0.0,0.0917431192661,0.0357142857143,0.0204081632653,0.0575539568345
trainALL-testFILTERED-thresh0.8,0.492634362473,0.495115642305,0.483933708952,0.492342869731,0.467327655303,0.524451936075
trainFILTERED-testALL-thresh0.8,0.441527465049,0.453076650129,0.435531539563,0.434240978951,0.457077083316,0.427711073288
trainFILTERED-testFILTERED-thresh0.8,0.549604394657,0.541428829761,0.531102104019,0.57516242598,0.531028688371,0.569299925156
trainFILTERED-testSHIT-thresh0.8,0.0,0.0,0.0,0.0,0.0,0.0
trainALL-testFILTERED-thresh1,0.542595847143,0.547129731692,0.51716205395,0.563385093084,0.567974360831,0.517327996155
trainFILTERED-testALL-thresh1,0.440366129251,0.463061779598,0.430252464709,0.430206416275,0.445088148348,0.433221837326
trainFILTERED-testFILTERED-thresh1,0.647305374833,0.67946713903,0.641604941159,0.638816504082,0.644716535351,0.631921754543
trainFILTERED-testSHIT-thresh1,0.0,0.0,0.0,0.0,0.0,0.0
