test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.40260852598,0.395535937052,0.414017922084,0.414692522029,0.393898431085,0.394897817649
trainALl-testSHIT,0.190775594042,0.245901639344,0.191304347826,0.211382113821,0.220183486239,0.0851063829787
trainALL-testFILTERED-thresh0.51,0.36316171196,0.401440895798,0.367951206528,0.343693734967,0.36992556768,0.332797154827
trainFILTERED-testALL-thresh0.51,0.389829121926,0.382831445692,0.391962804884,0.416851083912,0.377524640529,0.379975634614
trainFILTERED-testFILTERED-thresh0.51,0.35734050891,0.397463326239,0.339251766318,0.373636197792,0.328277169191,0.348074085007
trainFILTERED-testSHIT-thresh0.51,0.039248558039,0.0545454545455,0.0740740740741,0.018018018018,0.0204081632653,0.029197080292
trainALL-testFILTERED-thresh0.8,0.449173669333,0.456848060372,0.411375758862,0.471230289555,0.423157665271,0.483256572606
trainFILTERED-testALL-thresh0.8,0.419682576684,0.435894982289,0.426407420239,0.422260691561,0.41210249711,0.401747292224
trainFILTERED-testFILTERED-thresh0.8,0.468917675513,0.448306279398,0.461094027977,0.454941953375,0.498099406999,0.482146709817
trainFILTERED-testSHIT-thresh0.8,0.014330116431,0.0185185185185,0.0,0.018018018018,0.0204081632653,0.0147058823529
trainALL-testFILTERED-thresh1,0.554729357276,0.533388241898,0.578129211475,0.566273596829,0.537574441848,0.558281294329
trainFILTERED-testALL-thresh1,0.449096364308,0.47834710497,0.448444623729,0.440106158848,0.44741905745,0.431164876541
trainFILTERED-testFILTERED-thresh1,0.625962376,0.628457283986,0.642198613751,0.633552397491,0.601474782922,0.624128801851
trainFILTERED-testSHIT-thresh1,0.00294117647059,0.0,0.0,0.0,0.0,0.0147058823529
