test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.329317606979,0.320837138576,0.335971331716,0.321811027778,0.339156759753,0.328811777071
trainALL-testFILTERED-thresh0.51,0.33268930958,0.332099571968,0.374022996467,0.302229570064,0.300161609015,0.354932800386
trainFILTERED-testALL-thresh0.51,0.319100925407,0.314123046153,0.330385106213,0.321296034449,0.315585616232,0.314114823985
trainFILTERED-testFILTERED-thresh0.51,0.345262727005,0.329613231575,0.341088637721,0.342295953135,0.349033323618,0.364282488975
trainALL-testFILTERED-thresh0.8,0.348310619897,0.309861532463,0.384492348758,0.366749710637,0.355427405473,0.325022102153
trainFILTERED-testALL-thresh0.8,0.332632288893,0.325340909953,0.328345807915,0.347293322251,0.324431178272,0.337750226076
trainFILTERED-testFILTERED-thresh0.8,0.306155399051,0.290943203138,0.321412801781,0.296940573737,0.333657186598,0.287823230002
trainALL-testFILTERED-thresh1,0.333207677038,0.346854029355,0.315097681323,0.328977764295,0.358448353019,0.3166605572
trainFILTERED-testALL-thresh1,0.323256420094,0.334462156519,0.307889121737,0.334970410757,0.326469560259,0.312490851198
trainFILTERED-testFILTERED-thresh1,0.331040409059,0.346112032066,0.332430689877,0.327338363717,0.332300816767,0.317020142868
