test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.654856306603,0.644070319136,0.667378089379,0.642789587163,0.653004032168,0.667039505168
trainALL-testFILTERED-thresh0.51,0.510214838255,0.477457501848,0.550099784029,0.491664110383,0.51047813647,0.521374658546
trainFILTERED-testALL-thresh0.51,0.569991479626,0.543546202654,0.586451196001,0.560766366894,0.57971173544,0.57948189714
trainFILTERED-testFILTERED-thresh0.51,0.479329581314,0.476984497558,0.525445232621,0.459175879903,0.504970105931,0.430072190556
trainALL-testFILTERED-thresh0.8,0.670659168402,0.668151532582,0.653720565067,0.646289039698,0.682031124255,0.703103580409
trainFILTERED-testALL-thresh0.8,0.619023796613,0.638153480675,0.612394675157,0.607600274775,0.629068565564,0.607901986893
trainFILTERED-testFILTERED-thresh0.8,0.645965476379,0.642554835537,0.654790300139,0.618534436494,0.65764247808,0.656305331647
trainALL-testFILTERED-thresh1,0.799967365998,0.807758212205,0.795684776457,0.81456146891,0.799629390218,0.782202982203
trainFILTERED-testALL-thresh1,0.601779488155,0.600624688336,0.621967653155,0.576185783921,0.598534935603,0.61158437976
trainFILTERED-testFILTERED-thresh1,0.772010520096,0.785702027713,0.759037257507,0.75592516896,0.781715051879,0.777673094422
