test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.654856306603,0.644070319136,0.667378089379,0.642789587163,0.653004032168,0.667039505168
trainALL-testFILTERED-thresh0.51,0.654856306603,0.644070319136,0.667378089379,0.642789587163,0.653004032168,0.667039505168
trainFILTERED-testALL-thresh0.51,0.654856306603,0.644070319136,0.667378089379,0.642789587163,0.653004032168,0.667039505168
trainFILTERED-testFILTERED-thresh0.51,0.654856306603,0.644070319136,0.667378089379,0.642789587163,0.653004032168,0.667039505168
trainALL-testFILTERED-thresh0.8,0.731563997343,0.733741708965,0.71877278877,0.724790803009,0.736884558479,0.743630127492
trainFILTERED-testALL-thresh0.8,0.651500460598,0.644836692569,0.66170880633,0.63771594432,0.65237552987,0.6608653299
trainFILTERED-testFILTERED-thresh0.8,0.734485823388,0.731586178647,0.730049841683,0.72000832642,0.745057846042,0.745726924148
trainALL-testFILTERED-thresh1,0.799967365998,0.807758212205,0.795684776457,0.81456146891,0.799629390218,0.782202982203
trainFILTERED-testALL-thresh1,0.601779488155,0.600624688336,0.621967653155,0.576185783921,0.598534935603,0.61158437976
trainFILTERED-testFILTERED-thresh1,0.772010520096,0.785702027713,0.759037257507,0.75592516896,0.781715051879,0.777673094422
