test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.669450031502,0.675122735271,0.676598078873,0.656221925331,0.664887022876,0.67442039516
trainALL-testFILTERED-thresh0.51,0.532918204876,0.525647484411,0.55792718439,0.51717670474,0.521980418817,0.541859232024
trainFILTERED-testALL-thresh0.51,0.573667105897,0.541162147971,0.599336061658,0.567479400923,0.567637300088,0.592720618843
trainFILTERED-testFILTERED-thresh0.51,0.491631416924,0.479239666551,0.548335203891,0.472652260388,0.499550132009,0.458379821782
trainALL-testFILTERED-thresh0.8,0.680399526219,0.687018801668,0.679543028373,0.645550367268,0.687115379709,0.702770054074
trainFILTERED-testALL-thresh0.8,0.637106500974,0.653332756482,0.630155090769,0.633080026699,0.639351878854,0.629612752065
trainFILTERED-testFILTERED-thresh0.8,0.651520904424,0.667972804848,0.662614163584,0.620774172925,0.65365413994,0.652589240825
trainALL-testFILTERED-thresh1,0.80279812634,0.823662773362,0.776048528766,0.8218027391,0.817791765014,0.774684825459
trainFILTERED-testALL-thresh1,0.643130344142,0.640232800426,0.664398447994,0.61482222549,0.649748518896,0.646449727902
trainFILTERED-testFILTERED-thresh1,0.792828883962,0.793391581551,0.794380482456,0.779812386576,0.808884600695,0.787675368534
