test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.745378961323,0.755301519773,0.745707058695,0.735496080069,0.740117560737,0.750272587342
trainALL-testFILTERED-thresh0.51,0.564560806309,0.576607366227,0.58121373369,0.543219348385,0.560411494564,0.561352088679
trainFILTERED-testALL-thresh0.51,0.655241169596,0.625578653644,0.675975457355,0.657285311833,0.644898613127,0.672467812023
trainFILTERED-testFILTERED-thresh0.51,0.522231944756,0.524956564656,0.570512106917,0.504317936391,0.5326709221,0.478702193718
trainALL-testFILTERED-thresh0.8,0.743401154533,0.745021294071,0.739458977569,0.70779512554,0.745161230738,0.779569144748
trainFILTERED-testALL-thresh0.8,0.727642218648,0.744330205375,0.716304687592,0.722423239906,0.728858490795,0.726294469575
trainFILTERED-testFILTERED-thresh0.8,0.72604039522,0.73131393158,0.730910160841,0.695798409243,0.724954775088,0.74722469935
trainALL-testFILTERED-thresh1,0.893800364291,0.901220698975,0.881641771768,0.910003176769,0.902436419152,0.873699754794
trainFILTERED-testALL-thresh1,0.73831761453,0.74168842225,0.748770432096,0.72064837882,0.737931278153,0.742549561334
trainFILTERED-testFILTERED-thresh1,0.896193088742,0.889009731085,0.892031386493,0.904230351675,0.903864392628,0.891829581829
